"","Test_logloss","Train_logloss","gamma","max_depth","scale_pos_weight","subsample"
"1",0.3565016,0.2992516,0,10,0.5,0.5
"2",0.3572768,0.29825,0.05,10,0.5,0.5
"3",0.3752764,0.2136992,0,100,0.5,0.5
"4",0.3739938,0.214016,0.05,100,0.5,0.5
"5",0.3731848,0.2127738,0,150,0.5,0.5
"6",0.3737498,0.2138388,0.05,150,0.5,0.5
"7",0.3381754,0.2696068,0,10,1,0.5
"8",0.3385808,0.2709344,0.05,10,1,0.5
"9",0.3765292,0.1597524,0,100,1,0.5
"10",0.3771598,0.1594606,0.05,100,1,0.5
"11",0.3773386,0.1595154,0,150,1,0.5
"12",0.3777288,0.1598704,0.05,150,1,0.5
"13",0.3450098,0.2742086,0,10,1.5,0.5
"14",0.3458886,0.2732132,0.05,10,1.5,0.5
"15",0.3873534,0.1416944,0,100,1.5,0.5
"16",0.3840666,0.1426702,0.05,100,1.5,0.5
"17",0.3850586,0.1419948,0,150,1.5,0.5
"18",0.387725,0.1421918,0.05,150,1.5,0.5
"19",0.3555052,0.2948348,0,10,0.5,0.6
"20",0.3544028,0.2934888,0.05,10,0.5,0.6
"21",0.3744188,0.1922864,0,100,0.5,0.6
"22",0.3746288,0.1915194,0.05,100,0.5,0.6
"23",0.3773808,0.190671,0,150,0.5,0.6
"24",0.3765218,0.191467,0.05,150,0.5,0.6
"25",0.3362838,0.2649112,0,10,1,0.6
"26",0.3373556,0.2658264,0.05,10,1,0.6
"27",0.3786596,0.1368558,0,100,1,0.6
"28",0.3817756,0.1370572,0.05,100,1,0.6
"29",0.3820888,0.1369776,0,150,1,0.6
"30",0.3840506,0.1368078,0.05,150,1,0.6
"31",0.342588,0.268584,0,10,1.5,0.6
"32",0.344151,0.2670804,0.05,10,1.5,0.6
"33",0.383703,0.118969,0,100,1.5,0.6
"34",0.3873586,0.1190732,0.05,100,1.5,0.6
"35",0.3868056,0.1190824,0,150,1.5,0.6
"36",0.3865138,0.1186708,0.05,150,1.5,0.6
